banc_626_edge_list,fafb_783_edge_list,manc_1.2.1_edge_list
720575941526929485,720575940640736371,12536
720575941688977932,720575940627497244,10222
720575941590882046,720575940650935673,10330
720575941534848088,720575940640851363,10712
720575941629686054,720575940628307026,10868
720575941590917886,720575940631758393,11525
720575941526862617,720575940613583001,11175
720575941514152953,720575940620047877,10381
720575941645865928,720575940623432918,11280
720575941539128725,720575940604470240,11017
